TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,EFG_D
Texas St.,SB,26,21,105.3,101.7,0.5987,51.0,18.8,21.8,30.8,29.3,32.9,34.4,48.9,49.5,37.2,35.1,63.7,-2.3,DNC,50.7
Kent St.,MAC,32,23,102.4,99.1,0.5935,49.8,18.5,19.5,30.8,26.4,32.6,36.4,50.5,50.1,32.5,31.7,65.7,-4.5,DNC,49.0
Florida Atlantic,CUSA,31,19,104.5,101.2,0.5909,53.3,19.6,19.5,31.1,26.0,28.8,32.1,53.6,48.4,35.3,36.9,67.1,-8.1,DNC,50.8
California,P12,32,12,100.0,97.2,0.5821,46.9,17.1,14.7,25.5,23.4,25.3,31.5,47.2,48.1,30.8,30.9,64.1,-8.8,DNC,47.5
Georgia Tech,ACC,31,12,100.5,97.8,0.5792,49.6,18.9,18.8,25.0,28.1,25.0,31.5,48.6,51.4,34.4,32.1,68.1,-8.3,DNC,50.1
Rhode Island,A10,30,15,98.2,95.6,0.576,50.6,20.8,19.3,28.6,27.6,36.1,32.7,50.5,44.5,33.8,32.6,67.2,-8.5,DNC,46.3
UC Santa Barbara,BW,26,17,104.3,101.7,0.5717,53.5,19.3,19.5,28.4,27.2,37.2,30.4,55.0,48.2,33.4,32.0,65.5,-6.8,DNC,48.1
Seattle,WAC,30,23,98.7,96.3,0.5711,48.3,16.3,20.5,26.0,25.6,28.8,40.5,47.1,46.0,33.1,31.4,70.4,-3.6,DNC,46.4
Drexel,CAA,28,15,103.9,101.5,0.5668,52.0,16.4,16.2,25.6,26.1,25.4,26.1,52.0,50.6,34.7,33.4,66.2,-7.7,DNC,50.4
Buffalo,MAC,28,19,105.7,103.7,0.5529,51.6,18.6,15.8,37.0,27.9,25.6,29.4,51.6,48.3,34.4,31.9,71.1,-5.4,DNC,48.2
UC Irvine,BW,23,15,98.2,96.4,0.5515,47.6,20.6,17.2,29.9,27.6,29.7,31.2,47.4,46.0,32.1,26.6,65.1,-4.8,DNC,44.1
Saint Joseph's,A10,30,11,99.9,98.2,0.5504,49.7,19.6,13.7,27.0,24.1,22.9,26.9,49.0,47.6,33.6,31.8,68.2,-11.0,DNC,47.7
Ohio,MAC,34,25,102.6,100.8,0.5504,50.6,15.4,20.4,27.1,26.0,31.5,28.0,50.8,51.9,33.7,31.2,67.4,-3.5,DNC,50.0
Gardner Webb,BSth,28,18,97.1,95.7,0.5408,49.9,20.0,19.0,26.9,26.3,28.5,36.3,50.2,47.4,33.0,28.5,67.5,-7.7,DNC,45.5
Jacksonville,ASun,27,21,100.5,99.1,0.5394,48.6,18.6,16.4,33.6,23.4,30.5,30.8,47.2,49.9,34.5,29.3,61.4,-5.6,DNC,47.2
Missouri,SEC,32,12,102.1,100.8,0.5369,47.1,21.6,17.9,31.4,29.7,29.9,35.6,49.4,49.7,28.1,35.1,65.7,-7.0,DNC,50.8
Appalachian St.,SB,31,19,100.7,99.6,0.5314,48.4,16.0,17.9,26.3,26.0,27.6,21.7,46.9,50.0,33.5,33.0,64.4,-7.0,DNC,49.8
New Mexico,MWC,30,13,105.4,104.3,0.5296,49.4,16.1,18.0,24.0,29.1,32.8,35.6,48.1,53.5,34.4,32.9,71.2,-9.6,DNC,52.0
UTEP,CUSA,32,20,100.8,99.8,0.5287,49.2,16.7,20.5,22.6,29.5,27.8,37.2,47.4,50.0,34.7,33.2,66.5,-5.9,DNC,49.9
UNC Wilmington,CAA,34,27,104.4,103.5,0.5246,48.1,14.6,19.9,28.0,31.8,34.4,34.8,47.4,49.1,32.9,35.5,65.4,-3.6,DNC,50.5
Wagner,NEC,26,21,101.2,100.4,0.5239,49.9,18.0,22.3,33.5,27.5,32.1,39.3,53.0,50.4,28.5,29.7,66.5,-2.5,DNC,48.1
Tulsa,Amer,31,11,103.5,102.6,0.5231,49.6,19.0,20.1,26.7,30.1,31.0,29.0,48.5,50.5,34.2,36.2,66.4,-10.6,DNC,52.2
Mercer,SC,31,16,105.8,105.2,0.517,52.9,18.3,15.8,24.5,26.5,29.3,28.5,52.9,53.2,35.3,34.9,64.9,-9.7,DNC,52.8
Coastal Carolina,SB,29,19,101.1,100.6,0.5151,49.9,20.3,17.3,32.7,28.7,31.1,25.5,48.3,47.8,35.1,30.0,66.6,-8.8,DNC,46.5
Portland,WCC,32,19,103.3,102.8,0.5142,50.2,18.3,17.4,23.9,27.7,33.5,26.2,48.4,48.5,35.4,35.0,68.7,-6.6,DNC,50.1
South Alabama,SB,29,21,101.7,101.2,0.5142,52.0,19.3,20.8,26.9,31.3,30.6,30.7,52.3,46.8,34.2,32.5,66.5,-6.3,DNC,47.6
North Dakota St.,Sum,31,23,101.6,101.1,0.5138,51.8,17.0,12.7,24.8,23.1,33.4,25.5,51.1,47.0,35.3,32.5,66.2,-4.5,DNC,47.6
East Tennessee St.,SC,30,15,107.6,107.1,0.5135,51.8,17.0,16.6,30.6,31.1,21.7,26.1,51.1,54.7,35.1,34.2,65.5,-9.4,DNC,53.1
Samford,SC,29,21,104.1,103.9,0.5039,51.8,19.3,17.8,30.1,29.0,28.9,32.0,53.4,52.6,33.1,34.4,69.2,-4.6,DNC,52.1
East Carolina,Amer,30,15,101.8,101.7,0.5027,47.1,18.7,18.5,27.6,28.5,33.5,31.0,45.3,48.8,33.3,35.3,67.8,-6.4,DNC,50.5
Cleveland St.,Horz,29,20,104.0,104.2,0.4962,53.2,19.6,21.8,33.9,31.9,36.1,34.2,55.3,50.0,32.6,32.3,67.6,-6.3,DNC,49.4
Monmouth,MAAC,34,21,101.3,101.7,0.4897,47.5,17.3,17.8,29.4,27.9,36.9,33.6,46.3,46.6,33.1,32.3,66.3,-6.1,DNC,47.3
Georgetown,BE,31,6,104.2,104.6,0.4895,46.2,18.8,18.0,32.3,29.9,29.0,27.6,43.3,52.4,34.2,36.9,70.1,-13.0,DNC,53.6
VMI,SC,29,16,109.5,110.0,0.4854,55.3,16.9,14.0,22.7,29.6,26.3,25.3,54.4,50.2,37.4,34.7,68.7,-8.8,DNC,51.1
Louisiana Lafayette,SB,29,16,101.1,101.7,0.4836,48.6,22.0,18.4,33.6,27.6,35.5,35.5,47.0,46.2,34.3,32.2,69.6,-9.2,DNC,46.9
Hawaii,BW,26,17,100.3,101.0,0.4787,50.4,19.7,15.9,29.0,25.1,32.5,31.7,49.5,47.2,34.6,30.9,65.1,-7.1,DNC,46.9
Northern Kentucky,Horz,30,20,100.8,101.5,0.478,49.5,19.9,21.1,36.0,31.0,26.6,25.0,48.3,50.0,34.1,32.4,64.0,-8.0,DNC,49.5
Winthrop,BSth,29,23,104.3,105.1,0.4779,56.4,21.2,19.3,25.3,27.5,37.5,33.5,57.0,49.1,37.0,35.9,68.4,-3.2,DNC,51.0
Oakland,Horz,30,20,102.5,103.3,0.4756,49.1,18.0,20.5,30.7,33.4,34.0,21.5,52.5,52.9,29.7,31.0,67.7,-6.1,DNC,50.2
Southern Utah,BSky,33,23,105.0,105.9,0.4736,52.6,17.4,17.2,27.8,22.5,33.4,27.6,53.6,51.6,34.1,34.6,68.3,-6.5,DNC,51.7
Fordham,A10,32,16,93.1,94.1,0.4704,45.7,18.9,19.6,27.2,26.3,29.7,30.4,46.7,48.5,29.7,31.2,67.8,-8.4,DNC,47.9
Navy,Pat,31,21,94.2,95.6,0.4577,47.5,19.9,20.4,33.8,24.8,30.8,31.7,47.0,45.7,32.3,33.2,64.8,-6.0,DNC,47.3
Oral Roberts,Sum,28,19,108.1,109.7,0.4576,53.9,13.2,12.7,26.6,24.7,23.0,24.8,52.3,50.8,37.2,34.4,70.2,-6.8,DNC,51.1
Florida Gulf Coast,ASun,32,22,104.7,106.4,0.4562,53.3,18.9,15.8,29.9,27.4,29.1,24.0,53.8,50.5,35.1,33.7,70.1,-6.7,DNC,50.5
Charlotte,CUSA,31,17,104.7,106.4,0.4539,52.9,17.2,16.9,22.7,25.6,28.0,26.5,53.6,51.7,34.5,36.2,65.4,-7.4,DNC,52.6
Massachusetts,A10,32,15,110.9,112.8,0.4516,51.3,16.6,18.0,29.3,29.7,32.8,29.3,48.0,54.7,37.1,37.4,69.1,-9.0,DNC,55.2
Georgia,SEC,32,6,107.0,108.8,0.4513,50.2,20.7,15.7,25.8,30.1,39.0,24.1,51.3,56.1,32.1,34.9,68.8,-13.7,DNC,54.6
Weber St.,BSky,31,21,101.3,103.2,0.4489,53.5,16.3,20.2,20.0,24.9,37.8,26.9,54.5,49.2,34.6,38.1,69.6,-7.7,DNC,52.3
Pittsburgh,ACC,32,11,98.9,101.1,0.4379,46.7,21.2,16.5,30.5,26.1,39.4,29.4,46.5,49.5,31.4,36.8,64.0,-8.9,DNC,52.0
Illinois St.,MVC,31,13,103.6,106.1,0.4307,51.8,19.5,17.2,28.5,29.8,31.3,31.9,49.7,50.5,36.9,34.5,68.0,-12.4,DNC,51.0
UMKC,Sum,27,19,100.4,103.0,0.4277,52.3,15.6,21.0,21.5,26.6,31.6,44.4,51.6,52.8,35.8,33.6,67.3,-7.3,DNC,52.0
Arkansas St.,SB,26,18,98.0,100.5,0.4257,49.3,20.6,19.3,29.4,28.4,34.5,28.2,50.0,48.8,31.9,33.3,68.2,-5.9,DNC,49.2
Indiana St.,MVC,28,11,98.6,101.6,0.4159,50.6,19.2,15.8,17.3,22.5,26.4,26.2,52.8,50.1,32.0,36.1,69.5,-12.3,DNC,51.7
Troy,SB,29,20,97.3,100.2,0.4146,47.6,22.1,20.3,31.6,27.6,34.9,34.5,47.1,47.9,32.3,33.1,67.1,-5.8,DNC,48.5
Nicholls St.,Slnd,29,21,99.6,102.7,0.4114,52.1,17.3,19.7,29.6,30.6,21.6,36.3,54.5,47.2,32.1,33.3,69.8,-5.8,DNC,48.3
Loyola Marymount,WCC,28,11,105.1,108.5,0.4105,51.9,19.2,18.1,24.4,27.3,31.1,31.9,52.3,55.0,34.2,36.0,65.8,-9.4,DNC,54.7
Valparaiso,MVC,30,14,102.1,105.4,0.4105,51.0,16.5,16.5,20.3,24.8,26.9,22.6,52.1,51.6,32.9,35.6,65.2,-10.8,DNC,52.3
UC Davis,BW,22,13,97.4,100.7,0.4072,48.6,17.9,19.2,26.2,28.9,29.4,36.9,48.7,45.4,32.3,33.9,67.3,-8.1,DNC,47.3
Niagara,MAAC,29,14,98.4,101.8,0.4042,49.3,16.7,17.1,23.1,27.1,28.1,28.8,48.2,46.9,34.0,33.6,64.3,-10.5,DNC,48.2
Fairfield,MAAC,32,15,99.4,103.1,0.3986,49.3,16.8,17.0,27.4,27.7,26.6,31.2,48.6,48.1,33.5,32.2,64.3,-12.7,DNC,48.1
UNC Asheville,BSth,29,17,101.3,105.1,0.3953,50.5,18.2,19.0,26.6,33.0,37.1,27.4,50.1,52.9,34.1,29.0,66.5,-9.4,DNC,49.9
South Dakota,Sum,29,19,103.5,107.5,0.3922,52.0,15.1,15.5,26.5,22.4,34.1,34.2,50.0,51.7,37.3,36.2,65.8,-7.6,DNC,52.7
Oregon St.,P12,31,3,105.3,109.4,0.392,49.2,18.2,17.5,26.2,34.0,27.6,29.1,49.8,55.8,31.9,35.9,66.7,-16.1,DNC,55.0
Northern Colorado,BSky,35,22,106.9,111.1,0.3892,56.2,17.1,13.9,21.9,24.6,30.8,30.1,55.6,50.7,37.9,38.2,69.3,-9.0,DNC,52.9
James Madison,CAA,27,15,102.2,106.3,0.3891,51.1,17.7,20.6,25.9,31.5,30.6,27.5,50.9,55.7,34.2,33.7,69.0,-8.3,DNC,53.3
San Diego,WCC,29,15,96.0,100.1,0.3822,46.7,18.6,16.0,26.3,26.4,25.5,23.7,46.2,49.0,32.1,33.2,65.7,-7.8,DNC,49.2
George Washington,A10,30,12,98.9,103.1,0.3816,48.9,17.9,18.0,23.2,31.1,26.0,29.2,48.0,51.4,33.7,30.7,69.0,-10.9,DNC,49.6
Rider,MAAC,32,14,98.6,102.9,0.3798,45.6,17.3,18.4,29.4,28.3,27.2,33.2,44.9,47.3,31.6,34.4,67.0,-13.4,DNC,49.2
Detroit,Horz,29,14,105.7,110.4,0.3771,52.6,17.9,19.0,27.9,29.7,22.8,30.5,50.1,55.4,36.9,35.3,64.9,-9.6,DNC,54.4
Marist,MAAC,30,14,99.2,103.8,0.3729,50.4,18.2,16.7,26.4,27.1,25.0,28.5,49.7,47.1,34.4,33.4,66.3,-11.6,DNC,48.3
La Salle,A10,30,11,97.8,102.6,0.3653,47.8,19.0,16.7,29.0,27.4,25.1,31.0,47.6,47.8,32.0,35.9,67.5,-11.7,DNC,50.0
Boston University,Pat,34,22,104.3,109.5,0.3646,51.9,18.2,16.5,30.9,24.2,28.8,29.0,51.6,51.0,34.9,33.8,64.9,-8.3,DNC,50.9
Southeast Missouri St.,OVC,30,14,104.0,109.2,0.364,51.6,17.8,18.1,25.8,28.9,36.7,39.6,50.6,52.8,35.4,34.6,71.6,-12.4,DNC,52.4
High Point,BSth,29,14,98.8,103.8,0.3618,48.9,19.5,17.7,27.4,30.2,33.9,35.3,49.4,52.1,32.0,30.1,66.4,-12.5,DNC,49.5
Kennesaw St.,ASun,27,13,103.6,109.0,0.3578,51.8,17.4,18.2,28.7,27.9,29.7,35.3,50.3,52.1,36.2,36.2,66.3,-12.0,DNC,53.1
Northeastern,CAA,31,9,97.0,102.1,0.3573,50.1,21.2,15.7,26.3,23.7,30.6,25.6,51.6,51.9,32.0,34.3,64.6,-15.4,DNC,51.7
Eastern Washington,BSky,32,18,102.9,108.3,0.3566,52.9,18.5,15.6,25.3,26.0,32.9,31.5,51.9,50.4,36.1,33.6,69.7,-9.8,DNC,50.4
UT Arlington,SB,27,11,96.2,101.5,0.3499,45.7,20.3,20.3,30.5,31.7,29.7,32.3,45.3,46.8,31.0,35.5,65.4,-11.0,DNC,49.4
Southern,SWAC,29,17,94.1,99.4,0.3488,49.2,20.4,25.2,27.5,31.1,33.6,45.7,47.5,52.9,35.0,28.4,70.3,-8.7,DNC,49.2
Marshall,CUSA,31,12,100.3,105.9,0.3477,49.4,18.1,17.8,27.3,28.1,24.3,28.3,52.1,51.6,30.1,35.3,72.4,-14.1,DNC,52.0
Stony Brook,AE,30,18,104.0,109.9,0.3451,50.3,15.5,17.4,27.4,29.7,27.7,23.8,49.9,54.1,34.0,33.6,68.2,-8.0,DNC,52.6
South Florida,Amer,31,8,90.9,96.1,0.3449,41.3,19.1,18.9,29.8,27.0,25.4,33.6,42.8,46.6,25.2,33.8,65.0,-12.9,DNC,48.3
Quinnipiac,MAAC,30,14,101.9,107.8,0.3444,50.0,18.7,17.2,28.6,28.6,27.0,27.2,49.2,47.6,34.0,37.1,68.9,-12.3,DNC,50.6
UMBC,AE,31,18,103.6,109.5,0.3441,52.6,16.2,16.6,21.9,28.8,31.1,19.7,48.9,52.7,38.3,35.2,68.3,-9.4,DNC,52.8
Siena,MAAC,29,15,97.8,103.6,0.339,48.7,18.4,17.3,24.5,28.5,28.9,29.2,46.3,48.7,35.6,33.3,66.3,-9.3,DNC,49.1
New Hampshire,AE,26,15,102.6,108.7,0.3382,50.9,14.8,14.0,27.9,21.9,25.4,26.6,48.1,49.8,36.6,34.2,61.9,-9.3,DNC,50.4
Rice,CUSA,31,16,103.9,110.2,0.3371,52.9,18.4,14.3,26.1,28.2,31.2,21.1,51.9,51.6,36.2,32.9,67.6,-9.6,DNC,50.8
LIU Brooklyn,NEC,29,16,98.9,105.0,0.3367,48.4,18.5,18.2,30.6,29.7,30.4,29.7,49.6,48.8,31.0,32.0,72.5,-8.6,DNC,48.5
Youngstown St.,Horz,32,19,103.1,109.4,0.3366,51.0,17.3,17.1,29.8,28.3,30.4,30.3,50.8,50.7,34.1,34.3,66.6,-10.4,DNC,51.0
The Citadel,SC,28,13,100.8,107.1,0.3324,52.0,17.1,13.8,23.7,29.4,29.9,26.3,51.7,50.9,34.8,33.1,70.4,-11.7,DNC,50.4
Montana,BSky,29,18,99.9,106.3,0.3282,50.2,15.7,19.1,18.1,26.8,38.5,42.8,49.9,49.9,33.9,37.5,65.3,-9.9,DNC,51.8
Howard,MEAC,26,16,99.3,105.7,0.3259,50.4,20.7,23.5,28.0,34.5,36.2,33.9,47.8,48.6,36.2,34.0,70.4,-9.5,DNC,49.4
Ball St.,MAC,30,14,101.2,108.1,0.3207,51.3,19.5,17.1,26.8,28.3,38.1,32.8,49.8,50.8,35.7,36.3,70.0,-12.2,DNC,52.4
Georgia Southern,SB,26,13,95.9,102.4,0.3203,47.8,21.1,18.9,27.7,31.0,31.6,35.5,50.1,47.3,29.2,33.0,66.0,-11.1,DNC,48.2
Tennessee Tech,OVC,30,11,100.5,107.3,0.32,49.2,18.9,18.1,30.9,30.5,24.0,24.0,49.2,53.4,32.9,32.4,69.1,-14.2,DNC,51.5
Elon,CAA,30,10,98.8,105.6,0.3188,49.0,19.9,16.6,25.4,28.8,25.9,43.8,48.6,49.9,33.0,34.5,66.0,-13.5,DNC,50.6
Lipscomb,ASun,30,14,101.6,108.7,0.3152,52.3,19.0,14.1,22.7,28.0,33.9,22.7,53.2,48.1,34.0,37.5,69.3,-12.4,DNC,51.5
Mount St. Mary's,NEC,29,14,95.4,102.2,0.3132,48.6,20.1,18.9,31.0,29.1,26.3,26.2,47.6,47.4,33.9,33.9,63.5,-11.2,DNC,48.6
Miami OH,MAC,29,14,103.7,111.1,0.3113,50.3,15.0,18.0,26.0,30.2,23.7,30.4,49.5,52.5,34.3,36.7,67.5,-13.2,DNC,53.5
Western Illinois,Sum,30,16,99.3,106.4,0.3109,49.6,15.9,17.3,28.8,22.7,29.4,31.4,49.8,51.3,33.0,37.4,70.5,-10.2,DNC,52.9
Portland St.,BSky,29,14,95.7,102.8,0.3058,47.1,17.0,23.4,26.1,31.8,31.6,39.4,48.4,51.2,29.7,36.7,70.6,-12.8,DNC,52.7
Eastern Kentucky,ASun,27,13,100.8,108.3,0.3055,48.4,15.6,22.3,28.7,31.8,21.7,28.1,46.0,56.6,33.9,34.4,71.0,-13.7,DNC,54.6
Tennessee St.,OVC,30,14,98.0,105.3,0.3032,49.0,19.8,19.7,29.7,28.6,30.4,39.2,47.6,49.8,34.6,33.7,67.4,-13.5,DNC,50.1
Pepperdine,WCC,31,7,97.8,105.2,0.3022,47.5,20.4,18.0,26.3,31.0,23.9,31.5,45.6,54.6,34.1,32.9,70.2,-15.3,DNC,52.7
Air Force,MWC,29,11,95.9,103.2,0.2992,50.9,21.5,20.3,19.6,29.4,26.8,38.9,51.6,53.8,33.3,31.2,63.2,-10.1,DNC,51.5
Louisiana Monroe,SB,28,13,100.7,108.6,0.2974,50.2,18.9,19.4,24.7,33.4,26.0,34.7,50.5,52.0,33.2,36.2,67.8,-11.9,DNC,52.9
USC Upstate,BSth,30,15,101.3,109.2,0.2968,51.3,18.7,17.8,22.3,30.8,29.0,38.3,49.3,52.8,36.4,33.3,68.5,-10.6,DNC,51.6
North Florida,ASun,28,11,96.5,104.4,0.2889,48.1,21.6,16.7,25.2,36.9,30.4,28.7,47.7,48.0,32.4,33.9,68.1,-11.7,DNC,48.8
Manhattan,MAAC,29,15,99.4,107.9,0.2786,48.3,20.5,19.9,30.0,30.9,41.4,34.7,50.0,52.9,29.9,33.9,68.5,-10.4,DNC,52.2
Presbyterian,BSth,29,12,95.3,103.7,0.2754,45.4,19.5,21.1,33.1,24.6,30.2,40.7,49.0,51.0,26.1,38.4,64.1,-14.2,DNC,53.5
Southeastern Louisiana,Slnd,30,19,102.0,111.3,0.2698,51.8,20.0,19.6,25.9,33.2,38.8,27.3,51.9,55.4,34.4,34.0,70.3,-8.9,DNC,53.7
Bowling Green,MAC,29,13,102.7,111.9,0.2697,48.6,16.5,17.3,29.9,30.7,31.9,30.8,48.0,53.1,33.1,36.0,72.7,-13.4,DNC,53.5
Radford,BSth,27,11,95.2,103.8,0.2688,46.5,20.6,20.2,28.9,26.0,27.8,37.4,47.7,51.3,29.8,35.4,64.3,-12.1,DNC,52.0
San Jose St.,MWC,30,8,98.4,107.4,0.2676,49.7,20.0,15.7,22.0,30.5,22.5,27.0,48.2,53.4,34.3,35.8,65.5,-13.6,DNC,53.5
Illinois Chicago,Horz,29,14,99.7,109.1,0.263,51.1,17.2,16.8,25.0,27.2,22.9,34.2,53.3,50.0,32.4,37.4,68.9,-11.7,DNC,51.6
FIU,CUSA,30,15,96.8,105.9,0.2611,49.9,20.1,18.5,27.0,29.8,24.6,31.4,49.0,50.2,34.0,33.4,66.7,-12.0,DNC,50.2
Pacific,WCC,28,8,95.3,104.3,0.2604,46.2,17.4,18.7,22.6,22.6,32.3,28.1,45.8,52.1,31.4,39.2,68.0,-15.5,DNC,54.9
Prairie View A&M,SWAC,27,8,96.5,105.7,0.2601,48.4,24.0,20.6,31.7,34.2,38.5,44.8,46.8,49.6,34.5,35.7,70.7,-11.9,DNC,51.0
Canisius,MAAC,31,11,95.9,105.1,0.2582,45.4,16.9,17.8,28.0,26.3,30.2,32.2,45.5,53.7,30.2,31.2,68.3,-15.0,DNC,51.5
Hartford,AE,32,12,100.8,110.6,0.2567,53.3,18.2,16.5,23.8,28.4,27.6,28.9,51.5,50.4,36.9,35.7,67.1,-16.0,DNC,51.6
North Carolina A&T,BSth,29,12,96.4,105.9,0.2534,46.6,18.1,19.9,29.2,30.8,28.2,37.8,46.3,50.1,31.5,34.8,67.7,-14.5,DNC,51.0
Austin Peay,OVC,27,12,94.7,104.2,0.2489,46.6,21.3,20.9,29.5,30.4,25.7,36.1,46.9,54.1,30.8,33.2,64.6,-10.8,DNC,52.5
Jackson St.,SWAC,30,11,93.1,102.6,0.2462,45.3,19.9,18.3,31.4,27.9,26.5,36.6,45.5,47.5,30.0,32.2,63.9,-12.7,DNC,47.7
Duquesne,A10,30,6,97.8,107.9,0.245,45.4,16.9,19.0,29.2,31.5,21.9,21.9,45.2,51.3,30.5,39.8,65.9,-16.4,DNC,54.0
New Orleans,Slnd,29,18,95.9,105.8,0.2445,49.4,19.3,19.7,26.0,30.8,42.0,32.8,50.4,51.1,30.8,32.3,71.9,-9.1,DNC,50.1
SIU Edwardsville,OVC,30,11,94.3,104.0,0.2432,46.7,21.6,19.2,31.1,30.6,34.5,37.6,48.1,48.7,29.5,33.0,68.4,-15.2,DNC,49.0
Loyola MD,Pat,29,14,94.4,104.6,0.2366,50.4,19.5,20.6,25.2,26.1,25.0,30.7,51.7,51.3,32.1,34.3,65.3,-12.1,DNC,51.4
Army,Pat,29,15,96.3,107.0,0.2289,48.8,18.9,19.4,29.8,27.2,32.1,22.9,49.3,51.6,31.9,36.4,69.0,-12.2,DNC,52.8
Central Arkansas,ASun,29,11,99.5,110.6,0.2289,48.2,18.8,16.4,26.2,30.9,23.1,29.8,50.3,55.8,29.5,35.3,72.1,-13.0,DNC,54.8
Cal St. Bakersfield,BW,25,8,96.7,107.5,0.2282,44.4,18.0,20.1,32.0,26.1,29.5,48.0,44.9,50.5,28.3,35.2,64.4,-13.8,DNC,51.4
Tennessee Martin,OVC,28,8,96.4,107.2,0.2276,46.1,19.4,18.4,29.8,31.8,26.3,37.2,47.0,51.2,29.7,33.4,69.1,-15.7,DNC,50.8
Albany,AE,31,13,91.7,102.3,0.2208,46.2,18.7,20.7,26.1,27.2,24.9,31.8,45.2,49.1,32.3,35.5,65.3,-12.8,DNC,50.7
Western Carolina,SC,31,11,98.2,109.7,0.2186,47.9,17.7,14.3,28.6,28.5,27.8,28.7,49.0,52.6,31.3,36.0,68.4,-14.1,DNC,53.2
Denver,Sum,30,11,99.1,110.7,0.2185,52.7,18.6,16.5,23.7,28.1,32.0,32.2,51.1,50.9,37.1,36.4,66.5,-16.2,DNC,52.4
Cal Poly,BW,27,7,93.2,104.2,0.2165,46.1,22.6,17.0,27.3,26.9,36.3,36.8,47.2,44.5,29.5,36.2,64.6,-16.4,DNC,48.1
Northern Illinois,MAC,30,9,92.4,103.5,0.2131,47.2,19.9,19.7,24.3,29.4,33.0,40.7,47.0,51.8,31.7,32.3,67.0,-14.7,DNC,50.6
Morgan St.,MEAC,24,13,93.6,105.1,0.2086,46.1,21.2,23.2,31.4,29.9,31.0,43.7,46.6,51.0,30.0,34.4,71.6,-10.8,DNC,51.2
Lehigh,Pat,31,13,97.5,109.5,0.2073,52.1,19.2,14.7,21.5,26.4,25.1,31.8,48.9,47.4,38.2,36.4,68.2,-14.5,DNC,49.3
Binghamton,AE,27,12,93.6,105.5,0.2031,48.8,18.8,15.9,26.7,27.1,23.2,30.1,47.0,49.6,34.7,33.6,67.1,-12.7,DNC,49.9
Eastern Michigan,MAC,30,10,94.5,106.6,0.2017,48.2,19.2,16.9,23.3,28.4,29.8,29.3,49.3,50.6,30.7,35.6,69.5,-15.4,DNC,51.6
Stetson,ASun,26,11,96.1,108.3,0.2011,48.8,19.5,16.1,28.2,27.5,25.6,26.8,46.5,53.5,34.9,34.9,65.5,-14.6,DNC,53.0
McNeese St.,Slnd,29,11,97.4,110.3,0.194,48.6,22.0,17.7,33.2,28.9,37.5,40.2,49.9,52.0,30.6,34.7,69.7,-16.4,DNC,52.0
Western Michigan,MAC,28,8,97.4,110.2,0.1934,49.3,20.3,15.0,27.2,32.3,24.3,29.8,48.9,55.3,33.2,33.8,64.2,-16.9,DNC,53.4
Florida A&M,SWAC,28,13,94.9,107.4,0.1927,46.1,18.7,18.5,25.7,34.4,29.8,38.9,46.6,46.4,29.7,34.3,65.4,-12.2,DNC,48.2
Robert Morris,Horz,31,8,99.1,112.5,0.1885,50.9,20.8,16.9,28.2,32.2,28.2,28.9,51.6,51.9,32.9,36.9,66.9,-18.7,DNC,53.1
UTSA,CUSA,28,10,93.9,106.8,0.1863,43.6,17.6,17.0,29.5,25.8,25.4,33.0,43.9,53.0,28.7,37.7,68.7,-15.7,DNC,54.3
Sacramento St.,BSky,27,11,95.4,108.5,0.1847,48.8,16.7,17.7,21.4,27.6,28.3,33.7,46.9,53.4,35.1,34.2,64.4,-14.1,DNC,52.6
Lafayette,Pat,29,10,97.3,111.0,0.1796,50.6,16.4,17.2,22.4,30.0,20.9,25.8,51.9,51.8,32.8,38.0,64.8,-15.4,DNC,53.7
UT Rio Grande Valley,WAC,29,8,98.5,112.6,0.1767,49.5,20.7,17.9,24.7,33.5,41.4,35.7,51.9,53.7,30.3,32.7,71.7,-16.3,DNC,51.9
North Carolina Central,MEAC,27,16,94.7,108.4,0.1743,47.7,23.8,22.0,32.6,30.5,37.8,43.4,48.3,51.4,31.1,32.9,67.6,-10.4,DNC,50.5
South Carolina St.,MEAC,28,15,92.3,105.7,0.1742,43.3,20.2,20.6,34.3,29.0,31.9,37.4,42.1,47.7,30.6,35.7,70.4,-12.5,DNC,49.9
St. Francis NY,NEC,29,10,94.2,108.0,0.1713,46.0,17.9,18.9,29.4,29.8,23.3,32.4,45.4,52.7,31.3,33.3,66.7,-15.6,DNC,51.9
Central Michigan,MAC,30,7,95.1,109.1,0.1713,47.8,19.6,16.6,25.4,31.4,30.5,36.0,45.5,53.6,34.1,34.8,67.6,-16.1,DNC,53.0
Coppin St.,MEAC,32,9,89.8,103.2,0.1681,46.0,19.4,21.2,20.1,32.0,34.6,28.1,47.6,46.7,29.7,35.2,72.9,-16.7,DNC,49.3
Hampton,BSth,26,9,91.3,105.2,0.1642,44.1,18.0,16.2,22.1,31.0,36.5,37.9,44.1,48.8,29.3,29.8,68.9,-15.3,DNC,47.4
Bucknell,Pat,32,9,100.7,116.1,0.1629,52.8,19.3,13.7,21.8,30.0,28.3,22.9,50.6,52.3,37.6,37.4,67.8,-18.4,DNC,53.8
